subscriber_id,first_name,last_name,email,signup_date,signup_source,country,gender,age_group,status
SUB0033,First33,Last33,user33@email.com,2023-08-21,Social Media,United States,Male,25-34,Bounced
SUB0034,First34,Last34,user34@email.com,2023-12-16,Website Popup,United States,Female,25-34,Active
SUB0035,First35,Last35,user35@email.com,2023-09-30,Website Popup,United States,Female,18-24,Active
SUB0036,First36,Last36,user36@email.com,2024-03-02,Checkout,Australia,Male,55+,Active
SUB0037,First37,Last37,user37@email.com,2024-03-29,Checkout,United States,Female,35-44,Active
SUB0038,First38,Last38,user38@email.com,2023-08-06,Social Media,United Kingdom,Female,35-44,Active
SUB0039,First39,Last39,user39@email.com,2024-04-24,Website Popup,United States,Male,25-34,Active
SUB0040,First40,Last40,user40@email.com,2023-07-25,Website Popup,Canada,Male,45-54,Active
SUB0041,First41,Last41,user41@email.com,2023-07-30,Checkout,Canada,Male,25-34,Active
SUB0042,First42,Last42,user42@email.com,2023-11-17,Checkout,United Kingdom,Male,35-44,Active
SUB0043,First43,Last43,user43@email.com,2023-09-27,Social Media,Canada,Male,35-44,Active
SUB0044,First44,Last44,user44@email.com,2023-08-28,Social Media,United States,Male,18-24,Active
SUB0045,First45,Last45,user45@email.com,2024-03-19,Website Popup,Canada,Male,35-44,Active
SUB0046,First46,Last46,user46@email.com,2024-05-08,Social Media,Canada,Female,18-24,Active
SUB0047,First47,Last47,user47@email.com,2023-09-30,Website Popup,United Kingdom,Male,25-34,Active
SUB0048,First48,Last48,user48@email.com,2024-06-14,Social Media,Australia,Female,35-44,Active
SUB0049,First49,Last49,user49@email.com,2024-05-04,Website Popup,Canada,Male,35-44,Unsubscribed
SUB0050,First50,Last50,user50@email.com,2024-01-08,Checkout,United Kingdom,Male,25-34,Active
SUB0051,First51,Last51,user51@email.com,2023-09-20,Website Popup,United States,Female,25-34,Active
SUB0052,First52,Last52,user52@email.com,2024-03-09,Website Popup,United States,Female,45-54,Active
SUB0053,First53,Last53,user53@email.com,2024-06-04,Social Media,United States,Female,35-44,Active
SUB0054,First54,Last54,user54@email.com,2024-04-06,Social Media,Canada,Female,35-44,Active
SUB0055,First55,Last55,user55@email.com,2024-01-31,Referral,United States,Female,55+,Active
SUB0056,First56,Last56,user56@email.com,2023-10-17,Website Popup,Canada,Male,25-34,Active
SUB0057,First57,Last57,user57@email.com,2024-04-15,Social Media,United States,Male,35-44,Bounced
SUB0058,First58,Last58,user58@email.com,2023-08-01,Website Popup,United Kingdom,Female,18-24,Bounced
SUB0059,First59,Last59,user59@email.com,2024-05-25,Checkout,Australia,Female,18-24,Active
SUB0060,First60,Last60,user60@email.com,2024-04-27,Checkout,United States,Male,25-34,Active
SUB0061,First61,Last61,user61@email.com,2023-09-20,Checkout,United States,Male,25-34,Active
SUB0062,First62,Last62,user62@email.com,2023-10-12,Website Popup,United States,Male,18-24,Unsubscribed
SUB0063,First63,Last63,user63@email.com,2024-06-16,Social Media,United Kingdom,Male,25-34,Active
SUB0064,First64,Last64,user64@email.com,2024-03-25,Social Media,United States,Male,25-34,Active
SUB0065,First65,Last65,user65@email.com,2023-12-13,Website Popup,United States,Male,55+,Active
SUB0066,First66,Last66,user66@email.com,2024-02-09,Website Popup,United States,Female,18-24,Active
SUB0067,First67,Last67,user67@email.com,2024-06-08,Checkout,United States,Female,18-24,Active
SUB0068,First68,Last68,user68@email.com,2023-12-24,Social Media,United Kingdom,Male,25-34,Active
SUB0069,First69,Last69,user69@email.com,2023-07-14,Website Popup,United States,Female,18-24,Active
SUB0070,First70,Last70,user70@email.com,2023-12-10,Website Popup,United States,Male,18-24,Unsubscribed
SUB0071,First71,Last71,user71@email.com,2023-09-29,Website Popup,United States,Male,35-44,Active
SUB0072,First72,Last72,user72@email.com,2024-02-08,Checkout,United Kingdom,Female,25-34,Active
SUB0073,First73,Last73,user73@email.com,2024-04-11,Social Media,Australia,Female,25-34,Unsubscribed
SUB0074,First74,Last74,user74@email.com,2023-12-24,Website Popup,United States,Male,25-34,Active
SUB0075,First75,Last75,user75@email.com,2023-12-14,Website Popup,United States,Male,25-34,Active
SUB0076,First76,Last76,user76@email.com,2024-06-05,Website Popup,United Kingdom,Male,35-44,Active
SUB0077,First77,Last77,user77@email.com,2023-09-01,Website Popup,Canada,Female,25-34,Active
SUB0078,First78,Last78,user78@email.com,2023-12-12,Website Popup,United Kingdom,Male,45-54,Active
SUB0079,First79,Last79,user79@email.com,2024-01-20,Website Popup,Australia,Female,35-44,Active
SUB0080,First80,Last80,user80@email.com,2023-12-21,Website Popup,United States,Male,35-44,Bounced
SUB0081,First81,Last81,user81@email.com,2024-01-26,Referral,United Kingdom,Male,18-24,Active
SUB0082,First82,Last82,user82@email.com,2023-12-12,Social Media,Australia,Male,55+,Active
SUB0083,First83,Last83,user83@email.com,2023-11-24,Website Popup,Canada,Female,55+,Active
SUB0084,First84,Last84,user84@email.com,2024-06-26,Website Popup,United States,Female,25-34,Active
SUB0085,First85,Last85,user85@email.com,2023-08-19,Referral,United States,Male,35-44,Active
SUB0086,First86,Last86,user86@email.com,2023-09-02,Checkout,United States,Female,25-34,Active
SUB0087,First87,Last87,user87@email.com,2023-11-26,Website Popup,Australia,Female,45-54,Active
SUB0088,First88,Last88,user88@email.com,2023-11-07,Checkout,United States,Male,18-24,Active
SUB0089,First89,Last89,user89@email.com,2024-03-18,Checkout,United Kingdom,Male,25-34,Active
SUB0090,First90,Last90,user90@email.com,2024-02-08,Checkout,United States,Female,35-44,Active
SUB0091,First91,Last91,user91@email.com,2023-08-12,Website Popup,United States,Male,18-24,Active
SUB0092,First92,Last92,user92@email.com,2023-08-15,Website Popup,United States,Female,35-44,Active
SUB0093,First93,Last93,user93@email.com,2023-09-27,Social Media,United States,Male,25-34,Unsubscribed
SUB0094,First94,Last94,user94@email.com,2023-10-20,Website Popup,United States,Female,25-34,Active
SUB0095,First95,Last95,user95@email.com,2024-05-11,Website Popup,United States,Female,35-44,Active
SUB0096,First96,Last96,user96@email.com,2024-04-09,Referral,Canada,Female,35-44,Bounced
SUB0097,First97,Last97,user97@email.com,2023-09-22,Checkout,United Kingdom,Female,18-24,Active
SUB0098,First98,Last98,user98@email.com,2024-05-06,Website Popup,United States,Male,25-34,Active
SUB0099,First99,Last99,user99@email.com,2024-06-09,Social Media,United States,Female,35-44,Active
SUB0100,First100,Last100,user100@email.com,2024-06-17,Checkout,United States,Female,25-34,Active
SUB0101,First101,Last101,user101@email.com,2024-05-21,Website Popup,United States,Female,25-34,Active
SUB0102,First102,Last102,user102@email.com,2024-04-04,Checkout,United Kingdom,Female,25-34,Active
SUB0103,First103,Last103,user103@email.com,2023-10-13,Checkout,United States,Male,45-54,Bounced
SUB0104,First104,Last104,user104@email.com,2024-01-05,Checkout,United Kingdom,Female,55+,Active
SUB0105,First105,Last105,user105@email.com,2023-11-19,Website Popup,United Kingdom,Male,25-34,Active
SUB0106,First106,Last106,user106@email.com,2024-06-24,Social Media,Australia,Female,18-24,Active
SUB0107,First107,Last107,user107@email.com,2024-01-27,Website Popup,United States,Female,18-24,Active
SUB0108,First108,Last108,user108@email.com,2023-12-24,Checkout,United States,Male,25-34,Active
SUB0109,First109,Last109,user109@email.com,2023-12-02,Checkout,United States,Female,45-54,Active
SUB0110,First110,Last110,user110@email.com,2023-08-05,Checkout,United States,Female,35-44,Unsubscribed
SUB0111,First111,Last111,user111@email.com,2024-03-31,Website Popup,Canada,Male,25-34,Bounced
SUB0112,First112,Last112,user112@email.com,2024-05-25,Checkout,United Kingdom,Male,25-34,Active
SUB0113,First113,Last113,user113@email.com,2023-07-23,Website Popup,United Kingdom,Male,45-54,Active
SUB0114,First114,Last114,user114@email.com,2024-04-07,Social Media,United States,Male,25-34,Active
SUB0115,First115,Last115,user115@email.com,2024-05-16,Website Popup,United States,Female,55+,Active
SUB0116,First116,Last116,user116@email.com,2024-03-12,Website Popup,United States,Male,35-44,Active
SUB0117,First117,Last117,user117@email.com,2023-07-17,Checkout,United States,Male,35-44,Active
SUB0118,First118,Last118,user118@email.com,2024-06-11,Checkout,United States,Male,25-34,Active
SUB0119,First119,Last119,user119@email.com,2024-01-28,Website Popup,United Kingdom,Female,18-24,Active
SUB0120,First120,Last120,user120@email.com,2023-09-27,Website Popup,United States,Male,45-54,Active
SUB0121,First121,Last121,user121@email.com,2024-06-29,Website Popup,Canada,Female,25-34,Unsubscribed
SUB0122,First122,Last122,user122@email.com,2024-01-18,Website Popup,United States,Male,18-24,Active
SUB0123,First123,Last123,user123@email.com,2024-04-06,Website Popup,Canada,Female,35-44,Active
SUB0124,First124,Last124,user124@email.com,2023-09-29,Website Popup,United Kingdom,Female,35-44,Active
SUB0125,First125,Last125,user125@email.com,2024-04-26,Blog,United States,Male,35-44,Active
SUB0126,First126,Last126,user126@email.com,2024-01-20,Social Media,United Kingdom,Female,55+,Bounced
SUB0127,First127,Last127,user127@email.com,2024-06-25,Website Popup,United Kingdom,Male,35-44,Active
SUB0128,First128,Last128,user128@email.com,2024-01-14,Website Popup,United States,Male,25-34,Active
SUB0129,First129,Last129,user129@email.com,2023-10-03,Website Popup,United Kingdom,Female,25-34,Active
SUB0130,First130,Last130,user130@email.com,2023-11-12,Checkout,Australia,Female,35-44,Active
SUB0131,First131,Last131,user131@email.com,2024-05-25,Website Popup,Australia,Male,25-34,Active
SUB0132,First132,Last132,user132@email.com,2024-01-08,Website Popup,United States,Female,25-34,Active
SUB0133,First133,Last133,user133@email.com,2024-02-18,Checkout,United Kingdom,Female,35-44,Active
SUB0134,First134,Last134,user134@email.com,2023-08-20,Blog,Australia,Female,18-24,Active
SUB0135,First135,Last135,user135@email.com,2023-12-24,Checkout,Canada,Female,45-54,Active
SUB0136,First136,Last136,user136@email.com,2023-10-09,Social Media,Australia,Female,55+,Active
SUB0137,First137,Last137,user137@email.com,2023-07-01,Checkout,United States,Male,35-44,Active
SUB0138,First138,Last138,user138@email.com,2023-11-07,Social Media,United States,Male,35-44,Active
SUB0139,First139,Last139,user139@email.com,2023-07-20,Referral,Australia,Male,25-34,Active
SUB0140,First140,Last140,user140@email.com,2023-07-04,Website Popup,United States,Female,25-34,Active
SUB0141,First141,Last141,user141@email.com,2023-12-20,Website Popup,United States,Male,35-44,Active
SUB0142,First142,Last142,user142@email.com,2023-07-22,Referral,United States,Female,45-54,Unsubscribed
SUB0143,First143,Last143,user143@email.com,2023-11-22,Social Media,United States,Female,25-34,Active
SUB0144,First144,Last144,user144@email.com,2023-12-02,Checkout,United States,Female,18-24,Active
SUB0145,First145,Last145,user145@email.com,2024-03-31,Website Popup,Australia,Male,55+,Active
SUB0146,First146,Last146,user146@email.com,2024-06-29,Checkout,Australia,Male,18-24,Unsubscribed
SUB0147,First147,Last147,user147@email.com,2023-12-31,Website Popup,United States,Female,45-54,Active
SUB0148,First148,Last148,user148@email.com,2023-11-13,Checkout,United States,Female,45-54,Active
SUB0149,First149,Last149,user149@email.com,2024-04-01,Social Media,United States,Male,35-44,Active
SUB0150,First150,Last150,user150@email.com,2023-08-27,Referral,Australia,Male,18-24,Active
SUB0151,First151,Last151,user151@email.com,2023-09-06,Social Media,United States,Male,45-54,Active
SUB0152,First152,Last152,user152@email.com,2023-12-08,Website Popup,United Kingdom,Male,18-24,Active
SUB0153,First153,Last153,user153@email.com,2024-06-28,Referral,United States,Male,18-24,Active
SUB0154,First154,Last154,user154@email.com,2023-12-04,Checkout,United States,Female,35-44,Bounced
SUB0155,First155,Last155,user155@email.com,2024-04-22,Website Popup,United States,Male,25-34,Active
SUB0156,First156,Last156,user156@email.com,2023-08-27,Website Popup,United Kingdom,Male,35-44,Unsubscribed
SUB0157,First157,Last157,user157@email.com,2024-06-16,Checkout,United States,Male,25-34,Active
SUB0158,First158,Last158,user158@email.com,2024-02-05,Checkout,United States,Male,25-34,Active
SUB0159,First159,Last159,user159@email.com,2023-10-25,Website Popup,United States,Male,45-54,Unsubscribed
SUB0160,First160,Last160,user160@email.com,2024-02-25,Website Popup,United Kingdom,Male,18-24,Active
SUB0161,First161,Last161,user161@email.com,2023-10-10,Social Media,United States,Male,18-24,Active
SUB0162,First162,Last162,user162@email.com,2023-11-05,Website Popup,United States,Female,35-44,Active
SUB0163,First163,Last163,user163@email.com,2024-01-07,Website Popup,United States,Male,25-34,Active
SUB0164,First164,Last164,user164@email.com,2024-02-26,Checkout,Australia,Female,18-24,Active
SUB0165,First165,Last165,user165@email.com,2023-12-07,Website Popup,United States,Male,35-44,Active
SUB0166,First166,Last166,user166@email.com,2023-07-23,Website Popup,United Kingdom,Female,18-24,Active
SUB0167,First167,Last167,user167@email.com,2024-04-09,Website Popup,United States,Female,45-54,Active
SUB0168,First168,Last168,user168@email.com,2023-10-02,Website Popup,United States,Male,35-44,Active
SUB0169,First169,Last169,user169@email.com,2023-11-13,Website Popup,Canada,Male,35-44,Active
SUB0170,First170,Last170,user170@email.com,2024-02-11,Checkout,United States,Female,25-34,Active
SUB0171,First171,Last171,user171@email.com,2023-09-05,Social Media,United States,Female,55+,Active
SUB0172,First172,Last172,user172@email.com,2024-03-01,Social Media,United Kingdom,Male,45-54,Active
SUB0173,First173,Last173,user173@email.com,2023-08-04,Checkout,United States,Male,45-54,Unsubscribed
SUB0174,First174,Last174,user174@email.com,2024-03-27,Checkout,Canada,Female,35-44,Active
SUB0175,First175,Last175,user175@email.com,2023-11-22,Social Media,Canada,Male,18-24,Active
SUB0176,First176,Last176,user176@email.com,2023-10-10,Social Media,United States,Male,35-44,Active
SUB0177,First177,Last177,user177@email.com,2024-03-03,Referral,Australia,Female,25-34,Active
SUB0178,First178,Last178,user178@email.com,2023-11-02,Website Popup,United States,Male,35-44,Active
SUB0179,First179,Last179,user179@email.com,2024-03-04,Website Popup,United States,Female,25-34,Active
SUB0180,First180,Last180,user180@email.com,2023-09-27,Checkout,Canada,Female,25-34,Active
SUB0181,First181,Last181,user181@email.com,2024-01-03,Referral,Canada,Female,35-44,Active
SUB0182,First182,Last182,user182@email.com,2023-09-10,Checkout,United Kingdom,Male,25-34,Active
SUB0183,First183,Last183,user183@email.com,2023-10-08,Website Popup,United Kingdom,Female,18-24,Active
SUB0184,First184,Last184,user184@email.com,2024-02-08,Checkout,Australia,Female,55+,Active
SUB0185,First185,Last185,user185@email.com,2024-05-09,Checkout,United Kingdom,Female,25-34,Active
SUB0186,First186,Last186,user186@email.com,2023-12-13,Social Media,United Kingdom,Male,35-44,Active
SUB0187,First187,Last187,user187@email.com,2023-11-02,Referral,United States,Male,35-44,Active
SUB0188,First188,Last188,user188@email.com,2023-07-23,Checkout,United Kingdom,Female,45-54,Active
SUB0189,First189,Last189,user189@email.com,2023-07-30,Checkout,United States,Male,25-34,Active
SUB0190,First190,Last190,user190@email.com,2024-06-17,Website Popup,United States,Female,45-54,Active
SUB0191,First191,Last191,user191@email.com,2023-08-12,Social Media,Canada,Male,25-34,Unsubscribed
SUB0192,First192,Last192,user192@email.com,2024-03-15,Website Popup,United States,Female,25-34,Unsubscribed
SUB0193,First193,Last193,user193@email.com,2024-04-12,Website Popup,United States,Female,35-44,Active
SUB0194,First194,Last194,user194@email.com,2024-02-15,Website Popup,United States,Female,25-34,Active
SUB0195,First195,Last195,user195@email.com,2024-01-08,Checkout,United Kingdom,Male,25-34,Active
SUB0196,First196,Last196,user196@email.com,2024-03-23,Website Popup,United Kingdom,Female,25-34,Active
SUB0197,First197,Last197,user197@email.com,2024-06-10,Website Popup,United Kingdom,Female,25-34,Active
SUB0198,First198,Last198,user198@email.com,2023-10-05,Website Popup,United Kingdom,Male,18-24,Active
SUB0199,First199,Last199,user199@email.com,2023-10-23,Social Media,Australia,Female,35-44,Active
SUB0200,First200,Last200,user200@email.com,2024-04-25,Checkout,United States,Male,25-34,Active
SUB0201,First201,Last201,user201@email.com,2024-01-23,Referral,United States,Female,25-34,Unsubscribed
SUB0202,First202,Last202,user202@email.com,2023-10-08,Website Popup,United States,Female,25-34,Active
SUB0203,First203,Last203,user203@email.com,2024-01-17,Social Media,United States,Male,18-24,Unsubscribed
SUB0204,First204,Last204,user204@email.com,2024-04-24,Checkout,Australia,Female,25-34,Active
SUB0205,First205,Last205,user205@email.com,2023-11-26,Referral,United Kingdom,Female,18-24,Active
SUB0206,First206,Last206,user206@email.com,2023-11-25,Checkout,United States,Female,35-44,Unsubscribed
SUB0207,First207,Last207,user207@email.com,2024-04-17,Social Media,United States,Male,25-34,Active
SUB0208,First208,Last208,user208@email.com,2023-09-17,Social Media,United States,Male,25-34,Active
SUB0209,First209,Last209,user209@email.com,2023-08-26,Social Media,Canada,Male,18-24,Active
SUB0210,First210,Last210,user210@email.com,2024-03-27,Website Popup,United States,Male,35-44,Active
SUB0211,First211,Last211,user211@email.com,2023-07-11,Website Popup,Canada,Female,25-34,Active
SUB0212,First212,Last212,user212@email.com,2023-12-06,Checkout,United Kingdom,Male,35-44,Active
SUB0213,First213,Last213,user213@email.com,2023-10-25,Website Popup,United States,Male,25-34,Active
SUB0214,First214,Last214,user214@email.com,2023-07-05,Checkout,Canada,Female,35-44,Active
SUB0215,First215,Last215,user215@email.com,2024-01-07,Social Media,United States,Male,35-44,Unsubscribed
SUB0216,First216,Last216,user216@email.com,2023-09-11,Social Media,United Kingdom,Female,18-24,Active
SUB0217,First217,Last217,user217@email.com,2024-06-17,Referral,United States,Male,25-34,Unsubscribed
SUB0218,First218,Last218,user218@email.com,2023-07-28,Checkout,United Kingdom,Female,25-34,Active
SUB0219,First219,Last219,user219@email.com,2023-12-02,Referral,United States,Male,35-44,Active
SUB0220,First220,Last220,user220@email.com,2024-01-01,Website Popup,United Kingdom,Female,18-24,Active
SUB0221,First221,Last221,user221@email.com,2024-04-27,Social Media,United States,Female,45-54,Active
SUB0222,First222,Last222,user222@email.com,2024-03-05,Website Popup,United States,Male,18-24,Unsubscribed
SUB0223,First223,Last223,user223@email.com,2023-10-26,Checkout,United States,Female,35-44,Active
SUB0224,First224,Last224,user224@email.com,2023-09-29,Checkout,United States,Female,45-54,Active
SUB0225,First225,Last225,user225@email.com,2023-07-01,Website Popup,United States,Male,25-34,Bounced
SUB0226,First226,Last226,user226@email.com,2023-08-16,Checkout,United States,Female,35-44,Unsubscribed
SUB0227,First227,Last227,user227@email.com,2023-10-08,Social Media,Australia,Male,18-24,Active
SUB0228,First228,Last228,user228@email.com,2023-07-24,Website Popup,United States,Female,25-34,Active
SUB0229,First229,Last229,user229@email.com,2024-06-28,Checkout,Canada,Male,35-44,Active
SUB0230,First230,Last230,user230@email.com,2024-04-23,Social Media,Canada,Male,25-34,Active
SUB0231,First231,Last231,user231@email.com,2023-07-28,Website Popup,United Kingdom,Male,45-54,Active
SUB0232,First232,Last232,user232@email.com,2024-06-04,Website Popup,United Kingdom,Male,45-54,Active
SUB0233,First233,Last233,user233@email.com,2024-06-30,Website Popup,Canada,Female,18-24,Unsubscribed
SUB0234,First234,Last234,user234@email.com,2024-01-23,Website Popup,United States,Female,25-34,Active
SUB0235,First235,Last235,user235@email.com,2024-05-04,Website Popup,United States,Male,25-34,Active
SUB0236,First236,Last236,user236@email.com,2024-04-22,Checkout,Canada,Female,25-34,Active
SUB0237,First237,Last237,user237@email.com,2023-11-28,Website Popup,United States,Male,25-34,Active
SUB0238,First238,Last238,user238@email.com,2023-11-30,Blog,United Kingdom,Male,35-44,Active
SUB0239,First239,Last239,user239@email.com,2023-09-01,Checkout,Australia,Female,25-34,Active
SUB0240,First240,Last240,user240@email.com,2023-07-15,Checkout,United Kingdom,Male,18-24,Active
SUB0241,First241,Last241,user241@email.com,2023-07-30,Checkout,United Kingdom,Male,35-44,Active
SUB0242,First242,Last242,user242@email.com,2024-06-24,Checkout,United States,Male,18-24,Bounced
SUB0243,First243,Last243,user243@email.com,2023-09-27,Website Popup,United States,Male,18-24,Unsubscribed
SUB0244,First244,Last244,user244@email.com,2024-03-29,Checkout,United Kingdom,Female,18-24,Unsubscribed
SUB0245,First245,Last245,user245@email.com,2023-10-03,Social Media,United States,Female,25-34,Unsubscribed
SUB0246,First246,Last246,user246@email.com,2023-08-03,Checkout,United States,Male,25-34,Active
SUB0247,First247,Last247,user247@email.com,2024-01-13,Checkout,United Kingdom,Male,25-34,Active
SUB0248,First248,Last248,user248@email.com,2023-07-01,Checkout,United States,Female,18-24,Active
SUB0249,First249,Last249,user249@email.com,2024-02-07,Website Popup,United States,Female,25-34,Active
SUB0250,First250,Last250,user250@email.com,2024-02-16,Referral,United States,Female,25-34,Active
SUB0251,First251,Last251,user251@email.com,2023-08-31,Blog,United States,Female,18-24,Active
SUB0252,First252,Last252,user252@email.com,2024-02-13,Website Popup,United Kingdom,Female,18-24,Active
SUB0253,First253,Last253,user253@email.com,2023-08-04,Website Popup,United States,Female,35-44,Active
SUB0254,First254,Last254,user254@email.com,2024-06-01,Checkout,United States,Male,25-34,Active
SUB0255,First255,Last255,user255@email.com,2023-10-18,Social Media,Canada,Male,45-54,Unsubscribed
SUB0256,First256,Last256,user256@email.com,2023-07-20,Website Popup,United States,Female,35-44,Bounced
SUB0257,First257,Last257,user257@email.com,2023-12-13,Referral,United Kingdom,Female,45-54,Active
SUB0258,First258,Last258,user258@email.com,2023-08-31,Social Media,United States,Male,25-34,Active
SUB0259,First259,Last259,user259@email.com,2024-05-05,Website Popup,United States,Male,25-34,Active
SUB0260,First260,Last260,user260@email.com,2023-08-27,Website Popup,United States,Male,45-54,Active
SUB0261,First261,Last261,user261@email.com,2024-02-21,Blog,United States,Female,18-24,Active
SUB0262,First262,Last262,user262@email.com,2023-12-02,Social Media,Canada,Male,55+,Active
SUB0263,First263,Last263,user263@email.com,2024-05-06,Checkout,United States,Female,35-44,Unsubscribed
SUB0264,First264,Last264,user264@email.com,2024-04-28,Website Popup,United States,Female,18-24,Active
SUB0265,First265,Last265,user265@email.com,2024-01-08,Website Popup,United Kingdom,Female,55+,Active
SUB0266,First266,Last266,user266@email.com,2024-06-14,Referral,United States,Male,18-24,Active
SUB0267,First267,Last267,user267@email.com,2023-09-18,Social Media,United States,Male,25-34,Active
SUB0268,First268,Last268,user268@email.com,2024-01-19,Website Popup,United States,Female,25-34,Active
SUB0269,First269,Last269,user269@email.com,2024-06-16,Checkout,Canada,Male,25-34,Active
SUB0270,First270,Last270,user270@email.com,2024-06-11,Checkout,United Kingdom,Female,18-24,Active
SUB0271,First271,Last271,user271@email.com,2024-03-25,Website Popup,Canada,Male,35-44,Active
SUB0272,First272,Last272,user272@email.com,2023-07-18,Website Popup,Australia,Male,25-34,Active
SUB0273,First273,Last273,user273@email.com,2023-10-06,Website Popup,United Kingdom,Male,25-34,Active
SUB0274,First274,Last274,user274@email.com,2024-06-28,Checkout,United States,Female,25-34,Unsubscribed
SUB0275,First275,Last275,user275@email.com,2024-01-30,Website Popup,United States,Male,35-44,Active
SUB0276,First276,Last276,user276@email.com,2024-06-17,Social Media,United Kingdom,Female,18-24,Active
SUB0277,First277,Last277,user277@email.com,2023-11-01,Referral,Canada,Male,25-34,Active
SUB0278,First278,Last278,user278@email.com,2023-08-12,Website Popup,United States,Male,25-34,Active
SUB0279,First279,Last279,user279@email.com,2024-03-31,Referral,United States,Female,25-34,Active
SUB0280,First280,Last280,user280@email.com,2024-01-07,Website Popup,Canada,Female,25-34,Active
SUB0281,First281,Last281,user281@email.com,2024-02-14,Website Popup,United Kingdom,Male,25-34,Active
SUB0282,First282,Last282,user282@email.com,2024-01-13,Social Media,United States,Male,18-24,Active
SUB0283,First283,Last283,user283@email.com,2024-06-07,Website Popup,United States,Female,45-54,Active
SUB0284,First284,Last284,user284@email.com,2023-08-01,Website Popup,United States,Male,18-24,Active
SUB0285,First285,Last285,user285@email.com,2024-03-02,Social Media,United States,Female,45-54,Active
SUB0286,First286,Last286,user286@email.com,2023-10-06,Checkout,United Kingdom,Male,18-24,Active
SUB0287,First287,Last287,user287@email.com,2023-08-20,Checkout,United States,Female,18-24,Active
SUB0288,First288,Last288,user288@email.com,2024-01-14,Website Popup,Canada,Female,35-44,Unsubscribed
SUB0289,First289,Last289,user289@email.com,2024-02-05,Website Popup,United States,Male,45-54,Active
SUB0290,First290,Last290,user290@email.com,2024-01-07,Checkout,United States,Male,25-34,Active
SUB0291,First291,Last291,user291@email.com,2024-03-03,Checkout,Canada,Female,45-54,Active
SUB0292,First292,Last292,user292@email.com,2024-04-01,Checkout,United States,Male,18-24,Bounced
SUB0293,First293,Last293,user293@email.com,2024-06-04,Website Popup,Canada,Male,25-34,Active
SUB0294,First294,Last294,user294@email.com,2023-12-07,Website Popup,United States,Female,45-54,Active
SUB0295,First295,Last295,user295@email.com,2023-11-15,Website Popup,United States,Female,25-34,Bounced
